timestamp,current_price,predicted_price,smoothed_predicted,decision
2025-05-11 10:26:22,144750000.0,145431773.37253094,145430475.6551981,hold
2025-05-11 10:29:23,144762000.0,145433958.13715458,145434686.39202914,hold
2025-05-11 10:32:23,144727000.0,145424323.81796837,145430018.44255129,hold
2025-05-11 10:35:24,144800000.0,145440635.63203812,145432972.5290537,hold
2025-05-11 10:38:24,144829000.0,145445432.25812912,145436797.2360452,hold
2025-05-11 10:41:25,144797000.0,145440610.9918356,145442226.29400095,hold
2025-05-11 10:45:03,144766000.0,144714538.14411163,145200193.79802546,hold
2025-05-11 10:48:03,144670000.0,144699639.0349865,144951596.0569779,hold
2025-05-11 10:51:04,144684000.0,144702135.9088421,144705437.69598007,hold
2025-05-11 10:54:05,144597000.0,144672304.83698845,144691359.926939,hold
2025-05-11 10:57:05,144493000.0,144672715.5070305,144682385.41762033,hold
2025-05-11 11:00:06,144552000.0,144674128.2119751,144673049.5186647,hold
2025-05-11 11:03:06,144464000.0,144668477.39219666,144671773.70373407,hold
2025-05-11 11:06:07,144320000.0,144645726.27186775,144662777.29201317,hold
